,Car Name,Car Model,Year,Mileage,Fuel Type,Owner,Price
79,TATA MOTORS TIAGO,XT DIESEL,2016,88847,Diesel,2 Owner,₹3.9L
80,Renault Triber,RXZ,2019,55000,Petrol,1 Owner,₹6.25L
81,MARUTI SUZUKI VITARA BREZZA,LXI,N/A,N/A,N/A,N/A,₹8L
82,TOYOTA FORTUNER,2.5 Sportivo 4x2 MT,2013,125438,Diesel,1 Owner,₹13.8L
83,MARUTI SUZUKI VITARA BREZZA,ZDI+ AMT Dual- Tone,2019,28500,Diesel,1 Owner,₹9.8L
84,HYUNDAI CRETA,1.6 SX PLUS PETROL,2018,9000,Petrol,1st Owner,₹9L
85,MAHINDRA XUV500,W6,2014,81000,Diesel,1st Owner,₹5.8L
86,MARUTI SUZUKI ALTO,STD BS III,2006,80000,Petrol,1st Owner,₹1.9L
87,TOYOTA Corolla Altis,1.8 VL,2012,28500,Petrol,2nd Owner,₹3.5L
88,MARUTI SUZUKI WAGON R,LXI,2017,25000,Petrol,1st Owner,₹3.5L
89,MARUTI SUZUKI ERTIGA,VDI,2018,25500,Diesel,1st Owner,₹8.85L
90,MARUTI SUZUKI BALENO,1 2 ZETA,2017,25000,Diesel,1st Owner,₹3.85L
91,TOYOTA FORTUNER,3.0 LIMITED EDITION,2018,60000,Diesel,2nd Owner,₹2.6L
92,MARUTI SUZUKI SWIFT,VDI Metallic,2015,25000,Diesel,1st Owner,₹4.2L
93,TATA MOTORS ZEST,XMS Diesel,2018,65226,Diesel,1st Owner,₹3.2L
94,MAHINDRA TUV 300,T4 Plus,2020,65655,Diesel,1st Owner,₹6L
95,MAHINDRA BOLERO,SLE,2008,60000,Diesel,3rd Owner,₹4.5L
96,MARUTI SUZUKI EECO,7 STR,2014,50000,Petrol,3rd Owner,₹6L
97,MAHINDRA Bolero Power+,ZLX BS4 Power +,2017,40000,Diesel,1st Owner,₹5L
98,TATA MOTORS SUMO GOLD,EX BS-III,2019,60000,Diesel,1st Owner,₹3.5L
99,MAHINDRA BOLERO,ZLX BS III,2015,50000,Diesel,2nd Owner,₹5L
100,TATA MOTORS TIAGO,XZ PETROL,2019,87000,Petrol,2nd Owner,₹5L
101,Renault Duster [2015-2016],110 PS RxL,2016,80000,Diesel,1st Owner,₹5L
102,NISSAN Terrano [2013-2017],XL (D),2014,65000,Diesel,1st Owner,₹5.6L
103,MARUTI SUZUKI SWIFT,ZXI,2014,70000,Petrol,2nd Owner,₹3L
104,TOYOTA FORTUNER,3.0 LIMITED EDITION,2009,60000,Diesel,2nd Owner,₹9.8L
105,NISSAN Terrano [2013-2017],XVD Premium AMT,2017,55000,Diesel,2 Owner,₹8L
106,TOYOTA FORTUNER,3.0 LIMITED EDITION,2013,70000,Diesel,1 Owner,₹10L
107,HYUNDAI i20 [2010-2012],Asta 1.2 with AVN,2016,110000,Petrol,2 Owner,₹6.75L
108,MARUTI SUZUKI ERTIGA,VDI,2018,75000,Diesel,2 Owner,₹7.1L
109,HONDA AMAZE,1.2 EXMT I VTEC,2017,190000,Petrol,3 Owner,₹3.5L
110,HYUNDAI CRETA,1.4 BASE,2020,72616,Petrol,2 Owner,₹1.45L
111,MARUTI SUZUKI WAGON R,VXI 1.2L (O),2013,40000,Petrol,2 Owner,₹5.5L
112,MARUTI SUZUKI ERTIGA,ERTIGA SMART HYBRID VXI,2022,34000,Petrol,1 Owner,₹12L
113,MARUTI SUZUKI ALTO,K10 VXI,2013,56000,Petrol,1 Owner,₹3.6L
